well,value
A1,0.1914000064134597
B1,0.195700004696846
C1,0.197500005364418
D1,0.1941000074148178
E1,0.1933999955654144
F1,0.1985000073909759
G1,0.2044000029563903
H1,0.2140000015497207
A2,0.1858000010251999
B2,0.1995999962091446
C2,0.1972000002861023
D2,0.2082999944686889
E2,0.1974000036716461
F2,0.196600005030632
G2,0.1974000036716461
H2,0.2028000056743621
A3,0.1926999986171722
B3,0.2019000053405761
C3,0.2008000016212463
D3,0.2152999937534332
E3,0.1951999962329864
F3,0.1983000040054321
G3,0.2055999934673309
H3,0.200200006365776
A4,0.1930000036954879
B4,0.1905999928712844
C4,0.1972000002861023
D4,0.2034000009298324
E4,0.1861000061035156
F4,0.1985000073909759
G4,0.210099995136261
H4,0.2035000026226043
A5,0.1949999928474426
B5,0.2012999951839447
C5,0.1888000071048736
D5,0.2043000012636184
E5,0.189300000667572
F5,0.1932000070810318
G5,0.2070000022649765
H5,0.2014999985694885
A6,0.1867000013589859
B6,0.1994999945163726
C6,0.1977999955415725
D6,0.2022999972105026
E6,0.2045000046491623
F6,0.196600005030632
G6,0.1896000057458877
H6,0.2074999958276748
A7,0.1942999958992004
B7,0.1894000023603439
C7,0.2008000016212463
D7,0.2018000036478042
E7,0.1922000050544738
F7,0.2043000012636184
G7,0.2049999982118606
H7,0.2107000052928924
A8,0.1941999942064285
B8,0.195700004696846
C8,0.193800002336502
D8,0.1973000019788742
E8,0.1964000016450882
F8,0.2045000046491623
G8,0.2065999954938888
H8,0.2037999927997589
A9,0.1890999972820282
B9,0.1959999948740005
C9,0.2012999951839447
D9,0.1995999962091446
E9,0.1944999992847442
F9,0.1995999962091446
G9,0.194700002670288
H9,0.2055999934673309
A10,0.19200000166893
B10,0.19200000166893
C10,0.2018000036478042
D10,0.1983000040054321
E10,0.1967999935150146
F10,0.197500005364418
G10,0.200200006365776
H10,0.2020999938249588
A11,0.1926999986171722
B11,0.1915999948978424
C11,0.2041999995708465
D11,0.196600005030632
E11,0.194700002670288
F11,0.2028000056743621
G11,0.2036000043153762
H11,0.2064000070095062
A12,0.1955000013113021
B12,0.1935999989509582
C12,0.1977999955415725
D12,0.193900004029274
E12,0.1990000009536743
F12,0.1962999999523162
G12,0.197500005364418
H12,0.2061000019311905
